city,clinic_name,current_rank,current_score,potential_score,score_gain,gap_to_leader,leader_name,leader_score,phone,email,website
"Chatham, Ontario",Chatham-Kent Veterinary Hospital,2,60.0,64.8,4.8,3.0,Thames Valley Animal Hospital,63.0,(519) 352-3630,"website-accessibility@nva.com,privacy@nva.com",https://www.ckvets.com/locations/chatham-kent-veterinary-hospital
"Wasaga Beach, Ontario",Wasaga Beach Veterinary Clinic,2,60.0,64.8,4.8,4.0,Long Beach Veterinary Hospital,64.0,(705) 429-9069,info@wasagabeachvetclinic.com,https://www.wasagabeachvetclinic.com/
"Saint-Hyacinthe, Quebec",CHUV - Saint-Hyacinthe,2,60.0,64.8,4.8,3.0,Chatterie Royal Bengal | Éleveur de chat Royal Bengal certifié et adoption,63.0,(450) 778-8111,refuge@chuv.umontreal.ca,http://chuv.umontreal.ca/
"Grimsby, Ontario",Livingston Animal Hospital,2,59.0,63.7,4.7,3.0,Grimsby Animal Hospital,62.0,(905) 309-9600,info@livingstonanimalhospital.com,https://livingstonanimalhospital.com/
"Embrun, Ontario",Hôpital Vétérinaire Embrun Veterinary Hospital,2,59.0,63.7,4.7,0.0,Services Vétérinaires De L’Est Ontarien / Eastern Ontario Veterinary Services,59.0,(613) 443-5459,,https://www.embrunvet.com/
"Qualicum Beach, British Columbia",Mid-Isle Veterinary Hospital,2,58.0,62.6,4.6,0.0,Qualicum Beach Animal Hospital,58.0,(250) 752-8969,midislevet@shaw.ca,https://www.midislevet.ca/
"Sooke, British Columbia",Saseenos Veterinary Services (1997) Ltd,2,57.0,61.6,4.6,3.0,Sooke Veterinary Hospital,60.0,(250) 642-7387,info@saseenosvet.com,https://www.saseenosvet.com/
"Diamond Valley, Alberta",Diamond Valley Veterinary Clinic,2,57.0,61.6,4.6,3.0,Eastern Slopes Veterinary Services,60.0,(403) 933-4397,info@indiantypefoundry.com,http://diamondvalleyvet.ca/
"Sault Ste. Marie, Ontario",Animal Hospital,2,58.0,62.6,4.6,3.0,Northland Animal Hospital,61.0,(705) 949-4222,,https://www.animalhospitalsaultstemarie.ca/site/home
"Sault Ste. Marie, Ontario",Sault Ste Marie Animal Clinic,3,58.0,62.6,4.6,3.0,Northland Animal Hospital,61.0,(705) 759-8888,,http://www.ssmanimalclinic.com/
"Whitchurch-Stouffville, Ontario",Thicketwood Veterinary Hospital,2,58.0,62.6,4.6,3.0,Town and Country Animal Hospital,61.0,(905) 640-8084,"info@uvh.ca,vetrehab@uvh.ca",https://www.uvh.ca/locations/thicketwood
"Whitchurch-Stouffville, Ontario",VCA Stouffville Veterinary Clinic (Accepting new clients),3,57.0,61.6,4.6,4.0,Town and Country Animal Hospital,61.0,(905) 640-1641,,http://stouffvillevetclinic.com/
"Terrebonne, Quebec",Clinique Veterinaire Passionimo La Plaine,2,58.0,62.6,4.6,2.0,Hôpital Vétérinaire de la Seigneurie de Terrebonne inc.,60.0,(450) 477-9662,info_cvlp@passionimo.ca,http://www.cliniqueveterinairelaplaine.com/
"Saint-Léonard, Quebec",Clinique Vétérinaire du Quartier,2,58.0,62.6,4.6,0.0,Hopital Veterinaire Lacordaire,58.0,(514) 259-2541,"info@vetetcie.com,saint-leonard@vetetcie.com",https://vetetcie.com/
"Saint-Amable, Quebec",Bureau Vétérinaire Saint-Amable,2,58.0,62.6,4.6,1.0,Monvet - Main Street Veterinary Clinic,59.0,(450) 338-3880,,https://www.veterinairestamable.com/
"Penticton, British Columbia",Lindsey Veterinary Hospital,2,56.0,60.5,4.5,1.0,Anderson Veterinary Clinic,57.0,(250) 492-8113,,https://www.lindseyvet.com/
"North Bay, Ontario",North Bay Humane Society Pet Clinic,2,56.0,60.5,4.5,4.0,Blue Sky Animal Hospital,60.0,(705) 478-8233,info@northbayhumanesociety.ca,http://www.northbayhumanesociety.ca/
"East Gwillimbury, Ontario",Blackstone Animal Hospital,2,56.0,60.5,4.5,1.0,Sharon Veterinary Clinic,57.0,(905) 853-4738,info@blackstoneanimalhospital.ca,http://www.blackstoneanimalhospital.ca/
"Courtice, Ontario",Clarington Animal Hospital,2,56.0,60.5,4.5,1.0,Rosswell Animal Hospital,57.0,(905) 404-2030,,http://www.claringtonvet.ca/
"Belleville, Ontario",VCA Foster Park Animal Hospital,2,56.0,60.5,4.5,1.0,Quinte Pet Housecall: Exclusively Home Euthanasia (Mobile Vet),57.0,(613) 969-2273,,http://www.fosterparkpethospital.com/
"Beloeil, Quebec",Hôpital Vétérinaire du Richelieu inc.,2,56.0,60.5,4.5,1.0,Clinique Vétérinaire de la Rive,57.0,(450) 813-9997,,https://monvet.com/clinique/hopital-veterinaire-richelieu-inc/
"Duncan, British Columbia",Prevost Veterinary Clinic,2,55.0,59.4,4.4,1.0,Cowichan Valley Veterinary Services,56.0,(250) 746-7178,,https://www.prevostvetclinic.ca/
"Spruce Grove, Alberta",Best Friend’s Animal Hospital,2,55.0,59.4,4.4,1.0,Parkland Veterinary Clinic,56.0,(780) 962-1281,reception@bestfriendsah.ca,http://www.bestfriendsah.ca/
"Fort Saskatchewan, Alberta",Heartland Fort Veterinary Hospital,2,55.0,59.4,4.4,4.0,Fort Saskatchewan Veterinary,59.0,(780) 981-0333,info@heartlandfortvet.ca,http://www.heartlandfortvet.ca/
"Gravenhurst, Ontario",Gravenhurst Veterinary Services,2,55.0,59.4,4.4,3.0,Muskoka Bay Animal Clinic (formerly Chidiac Animal Hospital of Gravenhurst),58.0,(705) 687-5158,,http://www.centennialah.ca/
"Val-d'Or, Quebec",Clinique vétérinaire Boréale inc,2,55.0,59.4,4.4,3.0,Clinique Vétérinaire des Étoiles du Nord,58.0,(819) 831-5696,,http://www.cliniqueveterinaireboreale.com/
"Russell, Ontario",Russell Equine Veterinary Service,2,55.0,59.4,4.4,4.0,Village Veterinary Clinic,59.0,(613) 445-3521,,https://www.russellequine.com/
"Mirabel, Quebec",Clinique vétérinaire St-Augustin-de-Mirabel,2,55.0,59.4,4.4,4.0,Veterinary Clinic Domaine Vert inc.,59.0,(450) 414-1515,,https://www.veterinairestaugustin.com/
"Drummondville, Quebec",Clinique vétérinaire Dre Eve Biron,2,55.0,59.4,4.4,1.0,Lindsay Veterinary Hospital,56.0,(819) 478-1838,,https://www.evebironveterinaire.com/
"Pitt Meadows, British Columbia",Meadowvale Animal Hospital,2,54.0,58.3,4.3,0.0,Pitt Meadows Animal Clinic,54.0,(604) 459-2525,meadowvaleah@gmail.com,http://meadowvaleanimalhospital.com/
"Armstrong, British Columbia",Armstrong Veterinary Clinic,2,54.0,58.3,4.3,4.0,Mills Veterinary Services,58.0,(250) 546-9506,reception@armstrongveterinaryclinic.com,http://www.armstrongveterinaryclinic.com/
"Spruce Grove, Alberta",Spruce Grove Veterinary Clinic,3,54.0,58.3,4.3,2.0,Parkland Veterinary Clinic,56.0,(780) 962-3233,,http://sprucegrovevet.com/
"Dauphin, Manitoba",Dauphin Veterinary Clinic,2,54.0,58.3,4.3,1.0,Uptown Pet Clinic,55.0,(204) 638-3044,contactus@dauphinvetclinic.com,http://www.dauphinvetclinic.com/
"Fort Erie, Ontario",Fort Erie Spay & Neuter clinic with Basic Care,2,54.0,58.3,4.3,3.0,Fort Erie Animal Hospital,57.0,(905) 871-2461,technician@forteriespca.ca,https://www.forteriespayandneuter.ca/
"Trenton, Ontario",Southeastern Ontario Spay Neuter Clinic,2,54.0,58.3,4.3,0.0,Quinte Animal Hospital,54.0,(613) 392-7729,bellevillespayneuter@gmail.com,http://www.spayneuterontario.com/
"Beloeil, Quebec",Clinique Vétérinaire St-Exupéry Inc.,3,54.0,58.3,4.3,3.0,Clinique Vétérinaire de la Rive,57.0,(450) 464-2255,,http://www.veterinairebeloeil.com/
"Drummondville, Quebec","Clinique Vétérinaire des Voltigeurs | Consultation, Toilettage & Nourriture | Canin & Félin | Région de Centre-du-Québec",3,54.0,58.3,4.3,2.0,Lindsay Veterinary Hospital,56.0,(873) 382-0305,info@veterinairedesvoltigeurs.com,http://cliniqueveterinairedesvoltigeurs.com/
"Dieppe, New Brunswick",Grey Cove Veterinary Health Centre,2,54.0,58.3,4.3,2.0,Vet-Champlain Animal Care Inc,56.0,(506) 854-8282,info@gcvet.ca,http://gcvet.ca/
"Corner Brook, Newfoundland and Labrador",Humber Veterinary Clinic,2,54.0,58.3,4.3,3.0,Animal Health Centre,57.0,(709) 634-3537,humbervetstaff@humbervet.com,http://www.humbervalleyvet.com/
"Campbell River, British Columbia",Campbell River Veterinary Hospital,2,53.0,57.2,4.2,1.0,Coastland Veterinary Hospital,54.0,(250) 923-4292,,https://www.campbellrivervet.com/
"Duncan, British Columbia",Kinsol Veterinary Clinic,3,53.0,57.2,4.2,3.0,Cowichan Valley Veterinary Services,56.0,(250) 929-5888,info@kinsolvet.ca,http://www.kinsolvet.ca/
"Duncan, British Columbia",Duncan Cat Clinic,4,52.0,56.2,4.2,4.0,Cowichan Valley Veterinary Services,56.0,(778) 455-2287,doctor@duncancatclinic.com,https://duncancatclinic.com/
"Penticton, British Columbia",BC SPCA Penticton Veterinary Hospital,3,53.0,57.2,4.2,4.0,Anderson Veterinary Clinic,57.0,(250) 493-1530,pvh@spca.bc.ca,http://www.pentictonvet.ca/
"Elmira, Ontario",North Waterloo Veterinary Hospital,2,52.0,56.2,4.2,4.0,Eldale Veterinary Clinic,56.0,(519) 669-2901,,http://nwvethospital.com/
"Trenton, Ontario",Trenton Pet Hospital,3,53.0,57.2,4.2,1.0,Quinte Animal Hospital,54.0,(613) 392-6667,info@trentonpethospital.com,http://trentonpethospital.com/
"Stirling, Ontario",Stirling Veterinary Services,2,52.0,56.2,4.2,0.0,Hastings Veterinary Hospital,52.0,(613) 395-2716,stirlingvet@gmail.com,http://www.stirlingvet.ca/
"Navan, Ontario",Navan Veterinary Services,2,53.0,57.2,4.2,3.0,Colonial Veterinary Hospital,56.0,(613) 835-2646,info@navanvetservices.com,http://www.navanvetservices.com/
"Casselman, Ontario",Hôpital vétérinaire Nation Veterinary Hospital,2,52.0,56.2,4.2,4.0,Carole Michon Equine Veterinary Services,56.0,(613) 764-1234,,http://www.nationvet.com/
"Saint-Georges, Quebec",Clinique Vet-St-Georges Enr,2,53.0,57.2,4.2,4.0,Clinique Vétérinaire Beauce-Appalaches Enr,57.0,(418) 228-3761,,
"Miramichi, New Brunswick",Plc animal hospital,2,52.0,56.2,4.2,4.0,Waterview Animal Hospital,56.0,(506) 773-7845,plcanimalhospital@hotmail.com,http://www.plcanimalhospital.com/
"Mount Pearl, Newfoundland and Labrador",Topsail Road Veterinary Clinic,2,52.0,56.2,4.2,1.0,Sunrise Animal Hospital,53.0,(709) 747-5353,reception@topsailroadvet.com,http://www.topsailroadvet.com/
"Mount Pearl, Newfoundland and Labrador",Veterinary Specialty Centre Of Newfoundland and Labrador,3,52.0,56.2,4.2,1.0,Sunrise Animal Hospital,53.0,(709) 221-7838,,http://www.vscnl.ca/
"Binbrook, Ontario",Binbrook Animal Hospital,2,51.0,55.1,4.1,3.0,Village Centre Animal Hospital,54.0,(905) 692-2693,,http://www.binbrookvet.com/
"Farnham, Quebec",Clinique Vétérinaire Farnham Bedford,2,51.0,55.1,4.1,3.0,Clinique Vétérinaire des Cantons-Farnham inc,54.0,(450) 293-5524,info@cvfarnhambedford.ca,http://www.clinique-veterinaire-farnham-bedford.ca/
"Valcourt, Quebec",Bureau Veterinaire De Richmond,2,51.0,55.1,4.1,3.0,Clinique Veterinaire-Valcourt,54.0,(450) 820-8180,,https://www.vetrichmond.ca/
"Magog, Quebec",Bureau Vétérinaire Holistique Omanimo,2,51.0,55.1,4.1,3.0,Clinique Vétérinaire Magog Orford,54.0,(819) 769-1690,info@vet-holistique.com,http://www.vet-holistique.com/
"Rothesay, New Brunswick",Atlantic Veterinary Hospital,2,51.0,55.1,4.1,0.0,Fairvale Animal Hospital,51.0,(506) 847-2400,,https://www.atlanticveterinaryhospital.ca/
"Conception Bay South, Newfoundland and Labrador",CBS Animal Hospital,2,51.0,55.1,4.1,4.0,Memorial Animal Hospital,55.0,(709) 240-2288,info@cbsanimalhospital.com,http://cbsanimalhospital.com/
"Petrolia, Ontario",Discovery Animal Hospital,2,50.0,54.0,4.0,1.0,VCA Canada Petrolia Veterinary Services,51.0,(226) 738-0411,,
"Orillia, Ontario",Orillia Pet Hospital,2,50.0,54.0,4.0,2.0,Colborne Street Pet Hospital,52.0,(705) 325-4224,,https://orilliapethospital.com/
"Orillia, Ontario",Mariposa Veterinary Hospital,3,50.0,54.0,4.0,2.0,Colborne Street Pet Hospital,52.0,(705) 327-5311,reception@mariposavh.com,http://www.mariposavh.com/
"Mont-Laurier, Quebec",Animaux de ferme BV des Hautes-laurentides inc,2,50.0,54.0,4.0,3.0,Veterinary Hospital De Mont Laurier,53.0,(819) 623-3495,,
"Campbellville, Ontario",Brookville Veterinary Clinic,2,49.0,52.9,3.9,1.0,McKee-Pownall Equine Services Campbellville,50.0,(905) 854-2216,contact@brookvillevet.com,http://www.brookvillevet.com/
"Huntsville, Ontario",Muskoka Animal Hospital,2,49.0,52.9,3.9,2.0,Huntsville Animal Hospital,51.0,(705) 789-7979,,https://www.muskokaanimalhospital.com/
"West Vancouver, British Columbia",Animal Medical Hospital,2,47.0,50.8,3.8,3.0,Ambleside Animal Hospital,50.0,(604) 926-8654,,http://www.vet.bc.ca/
"Campbellville, Ontario",Campbellville Animal Hospital,3,47.0,50.8,3.8,3.0,McKee-Pownall Equine Services Campbellville,50.0,(905) 854-5556,petcare@campbellvillevet.ca,http://www.campbellvillevet.ca/
"Amherstview, Ontario",Fairfield Pet Hospital,2,48.0,51.8,3.8,1.0,Amherstview Pet Hospital,49.0,(613) 766-2263,petcare@fairfieldpethospital.ca,https://fairfieldpethospital.ca/
"Pincher Creek, Alberta",Peak Veterinary Hospital,2,44.0,47.5,3.5,2.0,Pincher Creek Veterinary Clinic,46.0,(403) 904-1100,,https://peakvet.ca/
"Pincher Creek, Alberta",Country Vets Ltd,3,43.0,46.4,3.4,3.0,Pincher Creek Veterinary Clinic,46.0,(403) 627-4212,,http://countryvets.weebly.com/
"Morriston, Ontario",Morriston Veterinary Clinic,2,42.0,45.4,3.4,1.0,Animal Eye Clinic of Waterloo Region,43.0,(519) 766-9494,contact@morristonvetclinic.com,http://morristonvetclinic.com/
"Bragg Creek, Alberta",Banded Peak Veterinary Hosp,2,41.0,44.3,3.3,3.0,Bragg Creek Veterinary Clinic,44.0,(403) 949-3249,,http://www.bpvh.ca/
"Waterloo, Quebec",Clinique vétérinaire FOSTERVET,2,41.0,44.3,3.3,2.0,Clinique Vétérinaire Waterloo Inc.,43.0,(450) 920-7387,,https://www.facebook.com/Clinique-Veterinaire-Fostervet-205427251502646
"Meadow Lake, Saskatchewan",Woodland Veterinary Clinic,2,31.0,33.5,2.5,2.0,Labrash Veterinary Services,33.0,(306) 236-5770,,
